model,mean_iou,mean_precision,mean_recall,mean_f1,mean_dice,mean_frontier_iou,mean_frontier_f1,mean_growth_iou,mean_growth_f1
CA (Baseline),0.6663610932837,0.8417688409320855,0.7620920225129314,0.799763161561045,0.7997631620596923,0.3492924584630298,0.4950512387610366,0.26698855133778554,0.3807164310425264
CA+MAS Drones,0.6991744672998446,0.8659481488059494,0.7842487861549743,0.8229151041693874,0.8229151046680695,0.36395328667595006,0.5111027585903082,0.2723083959851099,0.390623873282228
Improvement (CA+MAS - CA),0.03281337401614459,0.02417930787386391,0.022156763642042887,0.023151942608342413,0.023151942608377163,0.014660828212920252,0.016051519829271554,0.005319844647324379,0.00990744223970158
